2025-10-27
TIME D00001 D00002 D00003 D00004
09:00 R00000002 0 0 0
09:10 R00000007 0 0 0
09:20 R00000008 0 0 0
09:30 R00000009 0 0 0
09:40 R00000010 0 0 0
09:50 R00000011 0 0 0
10:00 R00000012 0 0 0
10:10 R00000013 0 0 0
10:20 R00000014 0 0 0
10:30 R00000004 0 0 0
10:40 R00000015 0 0 0
10:50 R00000016 0 0 0
11:00 R00000017 0 0 0
11:10 R00000018 0 0 0
11:20 R00000019 0 0 0
11:30 R00000020 0 0 0
11:40 R00000021 0 0 0
11:50 R00000022 0 0 0
12:00 R00000023 0 0 0
12:10 R00000024 0 0 0
12:20 R00000025 0 0 0
12:30 R00000026 0 0 0
12:40 R00000027 0 0 0
12:50 R00000028 0 0 0
13:00 R00000029 0 0 0
13:10 R00000030 0 0 0
13:20 R00000031 0 0 0
13:30 R00000032 0 0 0
13:40 R00000033 0 0 0
13:50 R00000034 0 0 0
14:00 R00000035 0 0 0
14:10 R00000036 0 0 0
14:20 R00000037 0 0 0
14:30 R00000038 0 0 0
14:40 R00000039 0 0 0
14:50 R00000040 0 0 0
15:00 R00000003 0 0 0
15:10 R00000041 0 0 0
15:20 R00000042 0 0 0
15:30 R00000043 0 0 0
15:40 R00000044 0 0 0
15:50 R00000045 0 0 0
16:00 R00000046 0 0 0
16:10 R00000047 0 0 0
16:20 R00000048 0 0 0
16:30 R00000049 0 0 0
16:40 R00000050 0 0 0
16:50 R00000051 0 0 0
17:00 R00000052 0 0 0
17:10 R00000053 0 0 0
17:20 R00000054 0 0 0
17:30 0 0 0 0
17:40 0 0 0 0
17:50 0 0 0 0
